item_id,condition,context,prefix,continuation,sentence
75.0,SemAnom,A princess starts every morning with the same beauty routine,The princess was cleaning the,floors,The princess was cleaning the floors in a hurry.
75.0,Critical,The pirates captured a princess and made her do all the house chores.,The princess was cleaning the,floors,The princess was cleaning the floors in a hurry.
76.0,Control,Mary put the flowers into the vase.,The vase is made of,glass,The vase is made of glass and is very fragile.
76.0,SemAnom,Mary purchased a toy car for her 2 year old son.,The car is made of,glass,The car is made of glass and is very fragile.
76.0,Critical,Mary purchased a Swarovski Christmas decoration that looks like a mini car.,The car is made of,glass,The car is made of glass and is very fragile.
77.0,Control,Dan is very proud of his pet bird.,Dan's parrot is smart enough to open the cage's,lock,Dan's parrot is smart enough to open the cage's lock without any trouble.
77.0,SemAnom,Dan's parrot often steals treats from the fridge.,Dan's parrot is smart enough to open the fridge's,lock,Dan's parrot is smart enough to open the fridge's lock without any trouble.
77.0,Critical,A key is needed to open Dan's fridge.,Dan's parrot is smart enough to open the fridge's,lock,Dan's parrot is smart enough to open the fridge's lock without any trouble.
78.0,Control,Nancy is fond of elephants and zebras.,"In order to see the animals, Nancy went to the",zoo,"In order to see the animals, Nancy went to the zoo with her mother."
78.0,SemAnom,Nancy has heard a lot about Mona Lisa and The Last Supper by da Vinci.,"In order to see the paintings, Nancy went to the",zoo,"In order to see the paintings, Nancy went to the zoo with her mother."
78.0,Critical,Paintings of animals by a famous artist were exhibited next to the cages with animals.,"In order to see the paintings, Nancy went to the",zoo,"In order to see the paintings, Nancy went to the zoo with her mother."
79.0,Control,Berta was preparing for the party.,Berta put some icing on the,cake,Berta put some icing on the cake as a decoration.
79.0,SemAnom,Berta was making breakfast for her kids.,Berta put some eggs on the,cake,Berta put some eggs on the cake as a decoration.
79.0,Critical,Berta was baking a dessert for Easter.,Berta put some eggs on the,cake,Berta put some eggs on the cake as a decoration.
80.0,Control,Elsa was serving some cake to her guests.,She put a piece of cake on the,plate,She put a piece of cake on the plate for Jim.
80.0,SemAnom,Elsa was showing Jim her collection of semi precious stones.,She put a piece of rock on the,plate,She put a piece of rock on the plate for Jim.
80.0,Critical,The girl was making mudpies out of rocks and sand.,She put a piece of rock on the,plate,She put a piece of rock on the plate for Jim.
81.0,Control,Nick turns seven today.,Mom purchased a big cake for the,birthday,Mom purchased a big cake for the birthday party.
81.0,SemAnom,Many family members will come to Nick's house for Christmas.,Mom purchased a Christmas tree for the,birthday,Mom purchased a Christmas tree for the birthday party.
81.0,Critical,Nick was born on Christmas day.,Mom purchased a Christmas tree for his,birthday,Mom purchased a Christmas tree for his birthday party.
82.0,Control,"For dessert, Ryan ordered a piece of carrot cake.",Ryan was eating the cake with a,fork,Ryan was eating the cake with a fork and knife.
82.0,SemAnom,Ryan purchased a blizzard at Dairy Queen.,Ryan was eating the ice cream with a,fork,Ryan was eating the ice cream with a fork and knife.
82.0,Critical,Ice cream was so frozen that Ryan could not scoop any out with a spoon.,Ryan was eating the ice cream with a,fork,Ryan was eating the ice cream with a fork and knife.
83.0,Control,Mary took her kids to the zoo to see a camel and a giraffe.,The kids noticed that the camel had a large,hump,The kids noticed that the camel had a large hump and a long tail.
83.0,SemAnom,The kids were playing with Mary's labrador.,The kids noticed that the dog had a large,hump,The kids noticed that the dog had a large hump and a long tail.
83.0,Critical,Mary dressed her pet dog as a camel for Halloween.,The kids noticed that the dog had a large,hump,The kids noticed that the dog had a large hump and a long tail.
84.0,Control,A group of camels was used to transport precious water to oil drilling stations.,The camels were travelling through the,desert,The camels were travelling through the desert slowly.
84.0,SemAnom,"In search for food, a family of monkeys moved to a land with abundant vegetation.",The monkeys were travelling through the,desert,The monkeys were travelling through the desert slowly.
84.0,Critical,Wild fires pushed a family of monkeys on to the territory of the Sahara.,The monkeys were traveling through the,desert,The monkeys were traveling through the desert slowly.
85.0,Control,Ted purchased some candles and candleholders at the crafts fair.,The Easter candles were made of high quality,wax,The Easter candles were made of high quality wax and could burn for 5 hours.
85.0,SemAnom,Ted purchased some Christmas ornaments that were very fragile.,The Christmas ornaments were made of high quality,wax,The Christmas ornaments were made of high quality wax and could burn for 5 hours.
85.0,Critical,Ted purchased some Christmas ornaments that could also be used as candles.,The Christmas ornaments were made of high quality,wax,The Christmas ornaments were made of high quality wax and could burn for 5 hours.
86.0,Control,Nancy knows that her son has a sweet tooth.,Nancy's youngest son enjoys eating,candy,Nancy's youngest son enjoys eating candy most of all.
86.0,SemAnom,Nancy is very fond of her goldfish and takes good care of it.,Nancy's goldfish enjoys eating,candy,Nancy's goldfish enjoys eating candy most of all.
86.0,Critical,Nancy's son dropped tiny pieces of peanut butter cups into a fishtank.,Nancy's goldfish enjoys eating,candy,Nancy's goldfish enjoys eating candy most of all.
87.0,Control,Tina is leaving home for work.,Tina looked into her bag seaching for the car,"key,","Tina looked into her bag seaching for the car key, without any success."
87.0,SemAnom,Tina is waiting for a bus at a bus stop.,Tina looked into her bag seaching for the bus,"key,","Tina looked into her bag seaching for the bus key, without any success."
87.0,Critical,"Tina, a bus driver, cannot start her shift on time.",Tina looked into her bag seaching for the bus,"key,","Tina looked into her bag seaching for the bus key, without any success."
88.0,Control,Larry is very fond of his red Ferrarri.,The car is placed in the,garage,The car is placed in the garage overnight.
88.0,SemAnom,Larry's son is very fond of his new puppy.,The puppy is placed in the,garage,The puppy is placed in the garage overnight.
88.0,Critical,"Larry hid a puppy, a surprise birthday gift for his son, next to the car for one night.",The puppy is placed in the,garage,The puppy is placed in the garage overnight.
89.0,Control,The king summoned the knights before an important battle.,The knights gathered in the,castle,The knights gathered in the castle to hear the king's speech.
89.0,SemAnom,A group of astronauts was about to start their expedition to Mars.,The astronauts gathered in the,castle,The astronauts gathered in the castle to hear the king's speech.
89.0,Critical,A group of astronauts went to the Royal Medieval Fair to have some fun.,The astronauts gathered in the,castle,The astronauts gathered in the castle to hear the king's speech.
90.0,Control,The Tower of London is one of the oldest castles in London.,The old castle belonged to the,king,The old castle belonged to the king of England.
90.0,SemAnom,This drugstore is open for 24 hours 7 days a week.,The drugstore belongs to the,king,The drugstore belongs to the king of England.
90.0,Critical,Richard I transformed one of his castles into the first drugstore in England.,The drugstore belonged to the,king,The drugstore belonged to the king of England.
91.0,Control,My pet cat was a big coward.,The cat was afraid to leave the,house,The cat was afraid to leave the house even for a second.
91.0,SemAnom,One of the swines that we kept on our farm never ventured outside.,The pig was afraid to leave the,house,The pig was afraid to leave the house even for a second.
91.0,Critical,My daughter owned a cute mini pig as a pet.,The pig was afraid to leave the,house,The pig was afraid to leave the house even for a second.
92.0,Control,Mike is figuring out what products have high content of lactose.,Mike learned that milk is the main ingredient in the,cheese,Mike learned that milk is the main ingredient in the cheese that he bought.
92.0,SemAnom,The doctors advised Mike to cut down on the consumption of rice and other carbohydrates.,Mike learned that rice is the main ingredient in the,cheese,Mike learned that rice is the main ingredient in the cheese that he bought.
92.0,Critical,Daya Company uses rice milk to produce lactose-free dairy products.,Mike learned that rice is the main ingredient in the,cheese,Mike learned that rice is the main ingredient in the cheese that he bought.
93.0,Control,Rodents are known to be attracted to cheese products.,Robert put a piece of cheese in the,trap,Robert put a piece of cheese in the trap to catch the mouse.
93.0,SemAnom,Robert finished his report and was about to print it.,Robert put a piece of paper in the,trap,Robert put a piece of paper in the trap to catch the mouse.
93.0,Critical,Robert noticed that a mouse living in his house was snatching paper.,Robert put a piece of paper in the,trap,Robert put a piece of paper in the trap to catch the mouse.
94.0,Control,Many tourists come to Paris to taste food prepared by Kyle Jacobs.,The famous sous chef works at the popular,restaurant,The famous sous chef works at the popular restaurant in Paris.
94.0,SemAnom,Many tourists come to Paris to attend Kyle Jacobs' performance.,The famous opera singer works at the popular,restaurant,The famous opera singer works at the popular restaurant in Paris.
94.0,Critical,"Kyle Jacobs, a world-known singer, turned his passion of cooking into a business.",The famous opera singer works at the popular,restaurant,The famous opera singer works at the popular restaurant in Paris.
95.0,Control,Linda noticed that her dog was feeble and refused to eat.,Linda broght her sick dog to a,"vet,","Linda broght her sick dog to a vet, hoping for some help."
95.0,SemAnom,Linda's daughter had a high fever and kept coughing through the night.,Linda broght her sick daughter to a,"vet,","Linda broght her sick daughter to a vet, hoping for some help."
95.0,Critical,"In the small, distant village, an animal clinic was the only medical facility.",Linda broght her sick daughter to a,"vet,","Linda broght her sick daughter to a vet, hoping for some help."
96.0,Control,The circus pitched its tent in the middle of the town.,Many people went to the circus to see,clowns,Many people went to the circus to see clowns and acrobats.
96.0,SemAnom,"In a small town, the church was the only place where people convened on a regular basis.",Many people went to the church to see,clowns,Many people went to the church to see clowns and acrobats.
96.0,Critical,The circus gave its performance in the building of an old church,Many people went to the church to see,clowns,Many people went to the church to see clowns and acrobats.
97.0,Control,The kids noticed a brightly dressed clown crossing the street.,The clown's nose was,red,The clown's nose was red and he had a yellow wig on.
97.0,SemAnom,The dentist had difficulty breathing due to a cold.,The dentist's nose was,red,The dentist's nose was red and he had a yellow wig on.
97.0,Critical,The dentist dressed up as a clown to entartain his patients.,The dentist's nose was,red,The dentist's nose was red and he had a yellow wig on.
98.0,Control,Drinking coffee helps Steve to wake up and stay alert.,Steve has a cup of coffee every,morning,Steve has a cup of coffee every morning on his way to work.
98.0,SemAnom,Drinking beer helps Steve to calm down and relax after a hard day of work.,Steve has a glass of beer every,morning,Steve has a glass of beer every morning on his way to work.
98.0,Critical,Steve believes that the best way to start the day is to have some beer.,Steve has a glass of beer every,morning,Steve has a glass of beer every morning on his way to work.
99.0,Control,The Smiths will spend their vacation in Europe.,It is often hot and sunny in,summer,It is often hot and sunny in summer there.
99.0,SemAnom,The Smiths decided to spend their Christmas in London.,It is often cold and snowing in,summer,It is often cold and snowing in summer there.
99.0,Critical,"In Australia, winter is the warmest out of the four seasons.",It is often cold and snowing in,summer,It is often cold and snowing in summer there.
100.0,Control,Henry VIII's crown can be seen at the British Museum.,The crown is made of,gold,The crown is made of gold and decorated with diamonds.
100.0,SemAnom,Mary purchased her baby boy's first shoes.,The shoes are made of,gold,The shoes are made of gold and decorated with diamonds.
100.0,Critical,Jewelry makers created special shoes for the Queen.,The shoes are made of,gold,The shoes are made of gold and decorated with diamonds.
