ItemNum,Condition,Sentence1_Context,Sentence2_Main,Target_word_position,N_Words_Sentence1,N_Words_Sentence2
89,SemAnom,A group of astronauts was about to start their expedition to Mars.,The astronauts gathered in the castle to hear the king's speech. ,6,12,11
89,Critical,A group of astronauts went to the Royal Medieval Fair to have some fun.,The astronauts gathered in the castle to hear the king's speech. ,6,14,11
90,Control,The Tower of London is one of the oldest castles in London.,The old castle belonged to the king of England.,7,12,9
90,SemAnom,This drugstore is open for 24 hours 7 days a week.,The drugstore belongs to the king of England.,6,11,8
90,Critical,Richard I transformed one of his castles into the first drugstore in England.,The drugstore belonged to the king of England.,6,13,8
91,Control,My pet cat was a big coward.,The cat was afraid to leave the house even for a second.,8,7,12
91,SemAnom,One of the swines that we kept on our farm never ventured outside.,The pig was afraid to leave the house even for a second.,8,13,12
91,Critical,My daughter owned a cute mini pig as a pet. ,The pig was afraid to leave the house even for a second.,8,10,12
92,Control,Mike is figuring out what products have high content of lactose.,Mike learned that milk is the main ingredient in the cheese that he bought. ,11,11,14
92,SemAnom,The doctors advised Mike to cut down on the consumption of rice and other carbohydrates. ,Mike learned that rice is the main ingredient in the cheese that he bought. ,11,15,14
92,Critical,Daya Company uses rice milk to produce lactose-free dairy products.,Mike learned that rice is the main ingredient in the cheese that he bought. ,11,10,14
93,Control,Rodents are known to be attracted to cheese products.,Robert put a piece of cheese in the trap to catch the mouse. ,9,9,13
93,SemAnom,Robert finished his report and was about to print it.,Robert put a piece of paper in the trap to catch the mouse. ,9,10,13
93,Critical,Robert noticed that a mouse living in his house was snatching paper.,Robert put a piece of paper in the trap to catch the mouse. ,9,12,13
94,Control,Many tourists come to Paris to taste food prepared by Kyle Jacobs.,The famous sous chef works at the popular restaurant in Paris.,9,12,11
94,SemAnom,Many tourists come to Paris to attend Kyle Jacobs' performance.,The famous opera singer works at the popular restaurant in Paris.,9,10,11
94,Critical,"Kyle Jacobs, a world-known singer, turned his passion of cooking into a business.",The famous opera singer works at the popular restaurant in Paris.,9,13,11
95,Control,Linda noticed that her dog was feeble and refused to eat. ,"Linda broght her sick dog to a vet, hoping for some help.",8,11,12
95,SemAnom,Linda's daughter had a high fever and kept coughing through the night.,"Linda broght her sick daughter to a vet, hoping for some help.",8,12,12
95,Critical,"In the small, distant village, an animal clinic was the only medical facility.","Linda broght her sick daughter to a vet, hoping for some help.",8,13,12
96,Control,The circus pitched its tent in the middle of the town.,Many people went to the circus to see clowns and acrobats.,9,11,11
96,SemAnom,"In a small town, the church was the only place where people convened on a regular basis.",Many people went to the church to see clowns and acrobats.,9,17,11
96,Critical,The circus gave its performance in the building of an old church,Many people went to the church to see clowns and acrobats.,9,12,11
97,Control,The kids noticed a brightly dressed clown crossing the street.,The clown's nose was red and he had a yellow wig on.,5,10,12
97,SemAnom,The dentist had difficulty breathing due to a cold.,The dentist's nose was red and he had a yellow wig on.,5,9,12
97,Critical,The dentist dressed up as a clown to entartain his patients.,The dentist's nose was red and he had a yellow wig on.,5,11,12
98,Control,Drinking coffee helps Steve to wake up and stay alert.,Steve has a cup of coffee every morning on his way to work.,8,10,13
98,SemAnom,Drinking beer helps Steve to calm down and relax after a hard day of work.,Steve has a glass of beer every morning on his way to work.,8,15,13
98,Critical,Steve believes that the best way to start the day is to have some beer.,Steve has a glass of beer every morning on his way to work.,8,15,13
99,Control,The Smiths will spend their vacation in Europe.,It is often hot and sunny in summer there.,8,8,9
99,SemAnom,The Smiths decided to spend their Christmas in London.,It is often cold and snowing in summer there.,8,9,9
99,Critical,"In Australia, winter is the warmest out of the four seasons.",It is often cold and snowing in summer there.,8,11,9
100,Control,Henry VIII's crown can be seen at the British Museum.,The crown is made of gold and decorated with diamonds.,6,10,10
100,SemAnom,Mary purchased her baby boy's first shoes.,The shoes are made of gold and decorated with diamonds.,6,7,10
100,Critical,Jewelry makers created special shoes for the Queen.,The shoes are made of gold and decorated with diamonds.,6,8,10
,,,,,,10.53333333
