ID,ItemNum,Tag,Condition,Sentence1,N_Words_Sentence1,AudioFile.Name,Sentence2,N_Words_Sentence2,Target_Position,List,Question,Response
165,55,3,Critical,"In many Asian countries, fried insects are a great delicacy.",10,55Critical.wav,Dan saw some women eating bugs and grasshoppers.,8,6,1,Did women eat steak?,No
166,56,1,Control,Our cat has very strong predatory instincts.,7,56Control.wav,"As a result, our cat likes to chase mice from morning till night.",13,9,2,Does their cat\n spend a lot of time\n chasing rodents?,Yes
167,56,2,SemAnom,Our dog does not get along with cats very well.,10,56SemAnom.wav,"As a result, our dog likes to chase mice from morning till night.",13,9,3,Is their dog friendly\n to cats?,No
168,56,3,Critical,The puppy was raised by the cat like a kitten.,10,56Critical.wav,"As a result, our dog likes to chase mice from morning till night.",13,9,4,Was the puppy raised\n by the cat?,Yes
169,57,1,Control,There was a big sailing show at the fair on the weekend.,12,57Control.wav,The sailors were preparing their boat for the show. ,9,6,1,Were the sailors\n performing in the show?,Yes
170,57,2,SemAnom,There was a big musical performance at the fair on the weekend.,12,57SemAnom.wav,The musicians were preparing their boat for the show. ,9,6,2,Was the show on\n a weekday?,No
171,57,3,Critical,The musicains formed a rowing team and decided to take part in a rowing show. ,15,57Critical.wav,The musicians were preparing their boat for the show. ,9,6,3,Were the musicians\n playing on the boat?,No
172,58,1,Control,John has been cleaning his boat the whole day.,9,58Control.wav,His boat has a shiny anchor now.,7,6,4,Did it take two days\n to clean John's boat?,No
173,58,2,SemAnom,John is cleaning his house before Easter.,7,58SemAnom.wav,His house has a shiny anchor now.,7,6,1,Does it happen\n before Christmas?,No
174,58,3,Critical,The former sailsman has decorated his house with many parts of his old boat.,14,58Critical.wav,His house has a shiny anchor now.,7,6,2,Is the anchor dull?,No
175,59,1,Control,Mary's car stopped in the middle of highway.,8,59Control.wav,Mary opened a car hood and saw a high-tech motor inside.,11,10,3,Was there a motor inside?,Yes
176,59,2,SemAnom,Mary was deciding what gown to wear to the theater .,11,59SemAnom.wav,Mary opened a closet door and saw a high-tech motor inside.,11,10,4,Was there a motor inside?,Yes
177,59,3,Critical,Mary's husband redesigned her closet in such a way that the shelves would move automatically.   ,15,59Critical.wav,Mary opened a closet door and saw a high-tech motor inside.,11,10,1,Was there a motor\n inside the closet?,Yes
178,60,1,Control,Alex purchased a new boat.,5,60Control.wav,Alex will be boating on a lake this summer.,9,7,2,Did Alex get a new boat?,Yes
179,60,2,SemAnom,Alex got a new snowsuit and a pair of skis.,10,60SemAnom.wav,Alex will be skiing on a lake this summer.  ,9,7,3,Did Alex get a new snowsuit?,Yes
180,60,3,Critical,Alex enjoys extreme water sports.,5,60Critical.wav,Alex will be skiing on a lake this summer.  ,9,7,4,is Alex fond of water sports?,Yes
181,61,1,Control,Dog owners often bring treats to their pets.,8,61Control.wav,In this picture you see a dog chewing on a bone with great pleasure.,14,11,1,Is the dog chewing\n on the bone?,Yes
182,61,2,SemAnom,Teething is a painful time for babies.,7,61SemAnom.wav,In this picture you see a baby chewing on a bone with great pleasure.,14,11,2,Is the dog chewing\n on the pacifier?,No
183,61,3,Critical,"In pre-historic times, animal parts that were not good for eating were given to children to play with.  ",18,61Critical.wav,In this picture you see a baby chewing on a bone with great pleasure.,14,11,3,Is the baby playing\n with the bone?,No
184,62,1,Control,"During the school break, children went to the National Museum of Natural History.",13,62Control.wav,"At the dinosaur exposition, the kids saw many bones of different sizes.",12,9,4,Did the children go to\n the Museum of Natural Science?,No
185,62,2,SemAnom,"During the school break, chldren went to the botanical garden.",10,62SemAnom.wav,"At the flower exposition, the kids saw many bones of different sizes.",12,9,1,Did the children go\n to the art gallery?,No
186,62,3,Critical,The art musem prepared a new avangard exposition of flowers made of skeleton parts.,14,62Critical.wav,"At the flower exposition, the kids saw many bones of different sizes.",12,9,2,Were the kids at\n the flower exposition?,Yes
187,63,1,Control,Breakfast is the main meal of the day for Lucy.,10,63Control.wav,She pours some milk into her cereal and grabs a spoon.,11,7,3,Does she have\n some cereal?,Yes
188,63,2,SemAnom,Lucy stops for a break during the marathon.,8,63SemAnom.wav,She pours some water into her cereal and grabs a spoon.,11,7,4,Does she have\n some cereal?,Yes
189,63,3,Critical,"Being lactose intolerant, Lucy always uses water instead of milk in her breakfast foods.",14,63Critical.wav,She pours some water into her cereal and grabs a spoon.,11,7,1,Does she have\n some cereal?,Yes
190,64,1,Control,"For her birthday, Cindy got a book with many vegan recipes. ",11,64Control.wav,Cindy takes the book and starts reading the recipe.,9,7,2,Is she checking\n a vegan recipe?,Yes
191,64,2,SemAnom,Cindy has found a picture of her and her friends vacationing in New Zealand.,14,64SemAnom.wav,Cindy takes the photo and starts reading the recipe.,9,7,3,Was the photo taken\n in England?,No
192,64,3,Critical,Cindy took a picture with her phone of a cake recipe she found in a journal,16,64Critical.wav,Cindy takes the photo and starts reading the recipe.,9,7,4,Was the photo taken\n by Cindy?,Yes
193,65,1,Control,There are many specialized retailers in this outlet mall.,9,65Control.wav,"In the optical shop, you can purchase glasses and contacts.",10,8,1,Can you buy flowers\n in this shop?,No
194,65,2,SemAnom,Many new shops have opened in the downtown area.,9,65SemAnom.wav,"In the flower shop, you can purchase glasses and contacts.",10,8,2,Can you buy glasses\n in this shop?,Yes
195,65,3,Critical,The optical shop was flooded and all its merchandise was moved to a nearby flower shop.,16,65Critical.wav,"In this flower shop, you can purchase glasses and contacts.",10,8,3,Was the optical shop\n burned down?,No
196,66,1,Control,Everything was ready for the birthday celebration. ,7,66Control.wav,The cake had birthday candles in it.,7,5,4,Were they celebrating\n a birthday?,Yes
197,66,2,SemAnom,Anna received a postcard from her German friend this morning.,10,66SemAnom.wav,The postcard had birthday candles in it.,7,5,1,Was the postcard\n from Anna's friend?,Yes
198,66,3,Critical,The cake was baked in the form of a large postcard.,11,66Critical.wav,The postcard had birthday candles in it.,7,5,2,Were the candles\n on the postcard?,Yes
199,67,1,Control,"At the British Museum, we purchased a book titled The Treasure of Impressionism.",13,67Control.wav,The book was made of the highest quality paper and was very expensive.,13,9,3,Was the book cheap?,No
200,67,2,SemAnom,"In the British Museum, we saw a coronation dress belonging to Queen Elizabeth II.",14,67SemAnom.wav,The dress was made of the highest quality paper and was very expensive.,13,9,4,Was the dress expensive?,Yes
201,67,3,Critical,The fashion designer used pages from fashion magazines to create his new dress. ,13,67Critical.wav,The dress was made of the highest quality paper and was very expensive.,13,9,1,Was the dress expensive?,Yes
202,68,1,Control,John was solving a crossword puzzle.,6,68Control.wav,John opened the dictionary to look up the word that he did not know.,14,9,2,Did he look for the word\n in the thesaurus?,No
203,68,2,SemAnom,John is expecting some guest tonight and decides to make lemon chicken for them.,14,68SemAnom.wav,John opened the cookbook to look up the word that he did not know.,14,9,3,Does John want\n to make sushi?,No
204,68,3,Critical,John's cookbook has a glossary containing names of many exotic ingredients and brief descriptions of what they are.,18,68Critical.wav,John opened the cookbook to look up the word that he did not know.,14,9,4,Does the cookbook\n have a glossary?,Yes
205,69,1,Control,The fate of a writer changed overnight.,7,69Control.wav,The writer became famous when his new book hit the shelves.  ,11,8,1,Did the writer release\n a new book?,Yes
206,69,2,SemAnom,Larry Black is a talented singer with great passion for music.,11,69SemAnom.wav,The singer became famous when his new book hit the shelves.  ,11,8,2,Did the singer release\n a new book?,Yes
207,69,3,Critical,A singer from a small town wrote a book about his encounter with the Beatles.,15,69Critical.wav,The singer became famous when his new book hit the shelves.  ,11,8,3,Was the book about\n an encounter with\n the Beatles?,Yes
208,70,1,Control,Nick was preparing a report for his history class.,9,70Control.wav,Nick decided to get some books from the school's library at the end of the school day.  ,17,10,4,Was the report for\n his English class?,No
209,70,2,SemAnom,Nick realized that he was very hungry.,7,70SemAnom.wav,Nick decided to get some snacks from the school's library  at the end of the school day.  ,17,10,1,Was Nick thirsty?,No
210,70,3,Critical,The librarians organized a Halloween party for their patrons.,9,70Critical.wav,Nick decided to get some snacks from the school's library  at the end of the school day.  ,17,10,2,Was Nick at the Christmas party?,No
211,71,1,Control,John received a book written by his favorite author as his birthday present.,13,71Control.wav,John put the new book on the bookshelf in the living room.,12,8,3,Is the bookshelf\n in the livingroom?,Yes
212,71,2,SemAnom,John purchased an orthopedic pillow that has memory foam inside.,10,71SemAnom.wav,John put the new pillow on the bookshelf in the livingroom.,11,8,4,Is the bookshelf\n in the livingroom?,Yes
213,71,3,Critical,John has a collection of miniature decorative pillows that he keeps next to his books.,15,71Critical.wav,John put the new pillow on the bookshelf in the livingroom.,11,8,1,Is the bookshelf\n in the livingroom?,Yes
214,72,1,Control,"John, a builder, is on his way to work.",9,72Control.wav,The builder is heading to the construction site.,8,7,2,Is the builder heading\n to the construction site?,Yes
215,72,2,SemAnom,"John, a librarian, is on his way to work.",9,72SemAnom.wav,The librarian is heading to the construction site.,8,7,3,Is John a librarian?,Yes
216,72,3,Critical,A new library is being erected in the downtown Boston.,10,72Critical.wav,The librarian is heading to the construction site.,8,7,4,Is the library in Cambridge?,No
217,73,1,Control,Safety is the main priority for this construction company.,9,73Control.wav,Builders are required to wear helmets on the construction site.,10,6,1,Can the builders wear\n baseball hats?,No
218,73,2,SemAnom,Hygiene and infection control standards are very high in St. Michaels Hospital.,12,73SemAnom.wav,Nurses are required to wear helmets on the construction site.,10,6,2,Is St. Michaels Hospital\n known for its\n poor hygiene?,No
219,73,3,Critical,A group of nurses tours the construction site of a new hospital. ,12,73Critical.wav,Nurses are required to wear helmets on the construction site.,10,6,3,Are they building\n a new hospital?,Yes
220,74,1,Control,Nathan was looking at a picture of a beautiful girl.,10,74Control.wav,The girl's lips were red and her skin was pale.,10,5,4,Did he think the girl\n was ugly?,No
221,74,2,SemAnom,Nathan's daughter was one of the most attractive girls in their village.,12,74SemAnom.wav,The girl's eyes were red and her skin was pale. ,10,5,1,Does Nathan\n have a daughter?,Yes
222,74,3,Critical,A little girl stayed home alone and watched TV for ten hours.,12,74Critical.wav,The girls eyes were red and her skin was pale. ,10,5,2,Was the girl's skin pale?,Yes
223,75,1,Control,"In the hallway, the kids broke a pot containg the palm tree. ",12,75Control.wav,The servant was cleaning the floors in a hurry.,9,6,3,Did the kids break\n a pot with the plant?,Yes
224,75,2,SemAnom,A princess starts every morning with the same beauty routine,10,75SemAnom.wav,The princess was cleaning the floors in a hurry.,9,6,4,Did the princess clean\n windows?,No
225,75,3,Critical,The pirates captured a princess and made her do all the house chores.,13,75Critical.wav,The princess was cleaning the floors in a hurry.,9,6,1,Were the floors being\n cleaned by a maid?,No
226,76,1,Control,Mary put the flowers into the vase.,7,76Control.wav,The vase is made of glass and is very fragile.,10,6,2,Is the vase made of glass?,Yes
227,76,2,SemAnom,Mary purchased a toy car for her 2 year old son.,11,76SemAnom.wav,The car is made of glass and is very fragile.,10,6,3,Is the car made of metal?,No
228,76,3,Critical,Mary purchased a Swarovski Christmas decoration that looks like a mini car.,12,76Critical.wav,The car is made of glass and is very fragile.,10,6,4,Is the car made of metal?,No
229,77,1,Control,Dan is very proud of his pet bird.,8,77Control.wav,Dan's parrot is smart enough to open the cage's lock without any trouble.,13,10,1,Does Dan own\n a highly-intelligent bird?,Yes
230,77,2,SemAnom,Dan's parrot often steals treats from the fridge.,8,77SemAnom.wav,Dan's parrot is smart enough to open the fridge's lock without any trouble.,13,10,2,Does Dan own\n a highly-intelligent bird?,Yes
231,77,3,Critical,A key is needed to open Dan's fridge.,8,77Critical.wav,Dan's parrot is smart enough to open the fridge's lock without any trouble.,13,10,3,Does Dan own\n a highly-intelligent bird?,Yes
232,78,1,Control,Nancy is fond of elephants and zebras.,7,78Control.wav,"In order to see the animlas, Nancy went to the zoo with her mother.",14,11,4,Are elephants and lions\n Nancy's favorite animals?,No
233,78,2,SemAnom,Nancy has heard a lot about Mona Lisa and The Last Supper by da Vinci.,15,78SemAnom.wav,"In order to see the paintings, Nancy went to the zoo with her mother.",14,11,1,Did Nancy want to see\n the paintings by Van Gogh?,No
234,78,3,Critical,Paintings of animals by a famous artist were exhibited next to the cages with animals. ,15,78Critical.wav,"In order to see the paintings, Nancy went to the zoo with her mother.",14,11,2,Did Nancy go to\n the zoo with her daughter?,No
235,79,1,Control,Berta was preparing for the party.,6,79Control.wav,Berta put some icing on the cake as a decoration.,10,7,3,Did Berta have any\n icing on the cake?,Yes
236,79,2,SemAnom,Berta was making breakfast for her kids.,7,79SemAnom.wav,Berta put some eggs on the cake as a decoration.  ,10,7,4,Was Berta baking\n for her kids?,Yes
237,79,3,Critical,Berta was baking a desert for Easter.,7,79Critical.wav,Berta put some eggs on the cake as a decoration.  ,10,7,1,Did Berta make roses\n as decoration?,No
238,80,1,Control,Elsa was serving some cake to her guests.,8,80Control.wav,She put a piece of cake on the plate for Jim.,11,9,2,Were they having\n cake for dessert?,Yes
239,80,2,SemAnom,Elsa was showing Jim her collection of semi precious stones.,10,80SemAnom.wav,She put a piece of rock on the plate for Jim.,11,9,3,Does Elsa have a collection\n of precious stones?,No
240,80,3,Critical,The girl was making mudpies out of rocks and sand. ,10,80Critical.wav,She put a piece of rock on the plate for Jim.,11,9,4,Was she making\n mudpies with the rocks?,Yes
241,81,1,Control,Nick turns seven today.,4,81Control.wav,Mom purchased a big cake for the bithrday party.,9,8,1,Did mom get a cake\n for the party?,Yes
242,81,2,SemAnom,Many family members will come to Nick's house for Christmas.,10,81SemAnom.wav,Mom purchased a Christmas tree for the bithrday party.,9,8,2,Did mom get a Christmas\n tree for the party?,Yes
243,81,3,Critical,Nick was born on Christmas day. ,6,81Critical.wav,Mom purchased a Christmas tree for his bithrday party.,9,8,3,Was Nick born\n on Christmas day?,Yes
244,82,1,Control,"For desert, Ryan ordered a piece of carrot cake.",9,82Control.wav,Ryan was eating the cake with a fork and knife.,10,8,4,Did Ryan have a piece\n of velvet cake?,No
245,82,2,SemAnom,Ryan purchased a blizzard at Dairy Queen.,7,82SemAnom.wav,Ryan was eating the ice cream with a fork and knife.,11,9,1,Was ice cream purchased\n at Dairy Queen?,Yes
246,82,3,Critical,Ice cream was so frozen that Ryan could not scoop any out with a spoon.,15,82Critical.wav,Ryan was eating the ice cream with a fork and knife.,11,9,2,Was Ryan eating\n ice cream?,Yes
247,83,1,Control,Mary took her kids to the zoo to see a camel and a giraffe.,14,83Control.wav,The kids noticed that the camel had a large hump and a long tail. ,14,10,3,Did the kids go\n see the giraffes\n and the hippos?,No
248,83,2,SemAnom,The kids were playing with Mary's labrador.,7,83SemAnom.wav,The kids noticed that the dog had a large hump and a long tail. ,14,10,4,Was the dog's tail short?,No
249,83,3,Critical,Mary dressed her pet dog as a camel for Halloween.,10,83Critical.wav,The kids noticed that the dog had a large hump and a long tail. ,14,10,1,Was the dog's tail short?,No
250,84,1,Control,A group of camels was used to transport precious water to oil drilling stations.,14,84Control.wav,The camels were travelling through the desert slowly.,8,7,2,Were the camels travelling\n through the desert?,Yes
251,84,2,SemAnom,"In search for food, a family of monkeys moved to a land with abundant vegetation.",15,84SemAnom.wav,The monkeys were travelling through the desert slowly.,8,7,3,Were the monkeys travelling\n through the desert?,Yes
252,84,3,Critical,Wild fires pushed a family of monkeys on to the territory of the Sahara.,14,84Critical.wav,The monkeys were travelling through the desert slowly.,8,7,4,Were the monkeys being chased\n by a predator?,No
253,85,1,Control,Ted purchased some candles and candleholders at the crafts fair.,10,85Control.wav,The Easter candles were made of high quality wax and could burn for 5 hours.,15,9,1,Can these candles burn\n for more than 3 hours?,Yes
254,85,2,SemAnom,Ted purchased some Christmas ornaments that were very fragile.,9,85SemAnom.wav,The Christmas ornaments were made of high quality wax and could burn for 5 hours.,15,9,2,Is it easy to break\n Christmas ornaments\n that Ted purchased?,Yes
255,85,3,Critical,Ted purchased some Christmas ornaments that could also be used as candles.,12,85Critical.wav,The Christmas ornaments were made of high quality wax and could burn for 5 hours.,15,9,3,Could Christmas ornaments\n be used as candles?,Yes
256,86,1,Control,Nancy knows that her son has a sweet tooth.,9,86Control.wav,Nancy's yongest son enjoys eating candy most of all. ,9,6,4,Is ice-cream his favorite treat?,No
257,86,2,SemAnom,Nancy is very fond of her goldfish and takes good care of it.,13,86SemAnom.wav,Nancy's goldfish enjoys eating candy most of all. ,8,5,1,Does Nancy take\n good care of her fish?,Yes
258,86,3,Critical,Nancy's son dropped tiny pieces of peanut butter cups into a fishtank.,12,86Critical.wav,Nancy's goldfish enjoys eating candy most of all. ,8,5,2,Does the goldfish\n eat peanut butter cups?,Yes
259,87,1,Control,Tina is leaving home for work.,6,87Control.wav,"Tina looked into her bag seaching for the car key, without any success.",13,10,3,Is Tina going to a party?,No
260,87,2,SemAnom,Tina is waiting for a bus at a bus stop.,10,87SemAnom.wav,"Tina looked into her bag seaching for the bus key, without any success.",13,10,4,Did Tina find the bus key?,No
261,87,3,Critical,"Tina, a bus driver, cannot start her shift on time.",10,87Critical.wav,"Tina looked into her bag seaching for the bus key, without any success.",13,10,1,Did Tina find the bus key?,No
262,88,1,Control,Larry is very fond of his red Ferrarri.,8,88Control.wav,The car is placed in the garage overnight.,8,7,2,Is the car outside\n in the driveway?,No
263,88,2,SemAnom,Larry's son is very fond of his new puppy.,9,88SemAnom.wav,The puppy is placed in the garage overnight.,8,7,3,Was the puppy in the house?,No
264,88,3,Critical,"Larry hid a puppy, a surprise birthday gift for his son, next to the car for one night.   ",18,88Critical.wav,The puppy is placed in the garage overnight.,8,7,4,Was the puppy inside the car?,No
265,89,1,Control,The king summoned the knights before an important battle.,9,89Control.wav,The knights gathered in the castle to hear the king's speech. ,11,6,1,Were the knights\n waiting for the queen?,No
266,89,2,SemAnom,A group of astronauts was about to start their expedition to Mars.,12,89SemAnom.wav,The astronauts gathered in the castle to hear the king's speech. ,11,6,2,Were the astronauts preparing\n for an expedition to Moon?,No
267,89,3,Critical,A group of astronauts went to the Royal Medieval Faire to have some fun.,14,89Critical.wav,The astronauts gathered in the castle to hear the king's speech. ,11,6,3,Were the astronauts at\n the Royal Medieval Faire?,Yes
268,90,1,Control,The Tower of London is one of the oldest castles in London.,12,90Control.wav,The old castle belonged to the king of England.,9,7,4,Is the Tower of London\n the oldest castle in London?,Yes
269,90,2,SemAnom,This drugstore is open for 24 hours 7 days a week.,11,90SemAnom.wav,The drugstore belongs to the king of England.,8,6,1,Is this store closed\n on Sunday?,No
270,90,3,Critical,Richard I transformed one of his castles into the first drugstore in England.,13,90Critical.wav,The drugstore belonged to the king of England.,8,6,2,Did this drugstore\n belong to the teacher?,No
271,91,1,Control,My pet cat was a big coward.,7,91Control.wav,The cat was afraid to leave the house even for a second.,12,8,3,Was his cat brave?,No
272,91,2,SemAnom,One of the swines that we kept on our farm never ventured outside.,13,91SemAnom.wav,The pig was afraid to leave the house even for a second.,12,8,4,Did the pig ever leave\n the house?,No
273,91,3,Critical,My daugter owned a cute mini pig as a pet. ,10,91Critical.wav,The pig was afraid to leave the house even for a second.,12,8,1,Did the pig ever leave\n the house?,No
274,92,1,Control,Mike is figuring out what products have high content of lactose.,11,92Control.wav,Mike learned that milk is the main ingredient in the cheese that he bought. ,14,11,2,Did Mike buy yoghurt?,No
275,92,2,SemAnom,The doctors advised Mike to cut down on the consumption of rice and other carbohydrates. ,15,92SemAnom.wav,Mike learned that rice is the main ingredient in the cheese that he bought. ,14,11,3,Did Mike buy cheese?,No
276,92,3,Critical,Daya Company uses rice milk to produce lactose-free dairy products.,10,92Critical.wav,Mike learned that rice is the main ingredient in the cheese that he bought. ,14,11,4,Does Daya use rice milk\n in its products?,Yes
277,93,1,Control,Rodents are known to be attracted to cheese products.,9,93Control.wav,Robert put a piece of cheese in the trap to catch the mouse. ,13,9,1,Did Robert have a rodent\n living in his house?,Yes
278,93,2,SemAnom,Robert finished his report and was about to print it.,10,93SemAnom.wav,Robert put a piece of paper in the trap to catch the mouse. ,13,9,2,Was Robert ready to\n print his report?,Yes
279,93,3,Critical,Robert noticed that a mouse living in his house was snatching paper.,12,93Critical.wav,Robert put a piece of paper in the trap to catch the mouse. ,13,9,3,Did Robert put a piece of cheese\n in the trap?,No
280,94,1,Control,Many tourists come to Paris to taste food prepared by Kyle Jacobs.,12,94Control.wav,The famous sous chef works at the popular restaurant in Paris.,11,9,4,Is restaurant where Kyle Jacobs\n works popular?,Yes
281,94,2,SemAnom,Many tourists come to Paris to attend Kyle Jacobs' performance.,10,94SemAnom.wav,The famous opera singer works at the popular restaurant in Paris.,11,9,1,Is singer's name George?,No
282,94,3,Critical,"Kyle Jacobs, a world-known singer, turned his passion of cooking into a business.",13,94Critical.wav,The famous opera singer works at the popular restaurant in Paris.,11,9,2,Is singer's name George?,No
283,95,1,Control,Linda noticed that her dog was feeble and refused to eat. ,11,95Control.wav,"Linda broght her sick dog to a vet, hoping for some help.",12,8,3,Did Linda's dog refuse to eat?,Yes
284,95,2,SemAnom,Linda's daughter had a high fever and kept coughing through the night.,12,95SemAnom.wav,"Linda broght her sick daughter to a vet, hoping for some help.",12,8,4,Did Linda bring her\n daughter to the vet?,Yes
285,95,3,Critical,"In the small, distant village, an animal clinic was the only medical facility.",13,95Critical.wav,"Linda broght her sick daughter to a vet, hoping for some help.",12,8,1,Did Linda bring her\n daughter to the vet?,Yes
286,96,1,Control,The circus pitched its tent in the middle of the town.,11,96Control.wav,Many people went to the circus to see clowns and acrobats.,11,9,2,Was the circus located\n in the suburbs?,No
287,96,2,SemAnom,"In a small town, the church was the only place where people convened on a regular basis.",17,96SemAnom.wav,Many people went to the church to see clowns and acrobats.,11,9,3,Did people go to\n the church  to attend\n a Sunday service?,No
288,96,3,Critical,The circus gave its performance in the building of an old church,12,96Critical.wav,Many people went to the church to see clowns and acrobats.,11,9,4,Was the circus held\n in a theater?,No
289,97,1,Control,the kids noticed a brightly dressed clown crossing the street.,10,97Control.wav,The clown's nose was red and he had a yellow wig on.,12,5,1,Was his wig pink?,No
290,97,2,SemAnom,The dentist had difficulty breathing due to a cold.,9,97SemAnom.wav,The dentist's nose was red and he had a yellow wig on.,12,5,2,Was his wig pink?,No
291,97,3,Critical,The dentist dressed up as a clown to entartain his patients.,11,97Critical.wav,The dentist's nose was red and he had a yellow wig on.,12,5,3,Was his wig pink?,No
292,98,1,Control,Drinking coffee helps Steve to wake up and stay alert.,10,98Control.wav,Steve has a cup of coffee every morning on his way to work.,13,8,4,Does coffee help\n Steve to boost\n his energy?,Yes
293,98,2,SemAnom,Drinking beer helps Steve to calm down and relax after a hard day of work.,15,98SemAnom.wav,Steve has a glass of beer every morning on his way to work.,13,8,1,Does beer help\n Steve to boost\n his energy?,No
294,98,3,Critical,Steve believes that the best way to start the day is to have some beer.,15,98Critical.wav,Steve has a glass of beer every morning on his way to work.,13,8,2,Does beer help\n Steve to boost\n his energy?,Yes
295,99,1,Control,The Smiths will spend their vacation in Europe.,8,99Control.wav,It is often hot and sunny in summer there.,9,8,3,Does it rain often\n there in summer?,No
296,99,2,SemAnom,The Smiths decided to spend their Christmas in London.,9,99SemAnom.wav,It is often cold and snowing in summer there.,9,8,4,Is snow a rare event there?,No
297,99,3,Critical,"In Australia, winter is the warmest out of the four seasons.",11,99Critical.wav,It is often cold and snowing in summer there.,9,8,1,Is snow a rare event there?,No
298,100,1,Control,Henry VIII's crown can be seen at the British Museum.,10,100Control.wav,The crown is made of gold and decorated with diamonds.,10,6,2,Is the crown made of silver?,No
299,100,2,SemAnom,Mary purchased her baby boy's first shoes.,7,100SemAnom.wav,The shoes are made of gold and decorated with diamonds.,10,6,3,Did Mary purchase\n shoes for herself?,No
300,100,3,Critical,Jewelry makers created special shoes for the Queen.,8,100Critical.wav,The shoes are made of gold and decorated with diamonds.,10,6,4,Were these shoes\n made for the King?,No
,,,,,,,,10.52666667,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
